algorithm;timed out;problem instance;filename;max degree;number of colors;number of disconnected components;number of nodes;number of uncontrollable nodes;target density;target unary tightness;true average density;true average unary tightness;NCCCs;simulated time (in ms);number of messages;total message size (in bytes);maximum message size (in bytes);induced treewidth;reported cost;true cost
DPOP;0;graphColoring_1578338264675;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;53;16;3808;417;1;0;0
DPOP;0;graphColoring_1578338265942;GraphColoring.xml;3;3;2;5;0;0.4;0.0;0.4;0.0;0;87;28;7163;475;2;0;0
DPOP;0;graphColoring_1578338267471;GraphColoring.xml;3;3;1;6;0;0.4;0.0;0.4;0.0;0;84;44;10970;477;2;0;0
DPOP;0;graphColoring_1578338268898;GraphColoring.xml;4;3;3;7;0;0.4;0.0;0.38095238095238093;0.0;0;85;48;13424;680;3;infinity;infinity
DPOP;0;graphColoring_1578338270553;GraphColoring.xml;5;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;87;72;19372;477;2;0;0
DPOP;0;graphColoring_1578338272101;GraphColoring.xml;6;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;100;88;24092;680;3;infinity;infinity
DPOP;0;graphColoring_1578338273715;GraphColoring.xml;6;3;1;10;0;0.4;0.0;0.4;0.0;0;102;108;30767;682;3;0;0
DPOP;0;graphColoring_1578338275373;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;61;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338276686;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;82;16;3810;417;1;0;0
DPOP;0;graphColoring_1578338278162;GraphColoring.xml;3;3;1;5;0;0.4;0.0;0.4;0.0;0;86;32;7623;417;1;0;0
DPOP;0;graphColoring_1578338279626;GraphColoring.xml;4;3;2;6;0;0.4;0.0;0.4;0.0;0;61;40;10518;475;2;0;0
DPOP;0;graphColoring_1578338281086;GraphColoring.xml;3;3;1;7;0;0.4;0.0;0.38095238095238093;0.0;0;127;57;14487;477;2;0;0
DPOP;0;graphColoring_1578338282720;GraphColoring.xml;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;99;72;19513;730;3;0;0
DPOP;0;graphColoring_1578338284409;GraphColoring.xml;6;3;1;9;0;0.4;0.0;0.3888888888888889;0.0;0;91;88;24227;730;3;0;0
DPOP;0;graphColoring_1578338286123;GraphColoring.xml;6;3;1;10;0;0.4;0.0;0.4;0.0;0;122;108;30632;728;3;infinity;infinity
DPOP;0;graphColoring_1578338287922;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;74;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338289316;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;80;16;3808;417;1;0;0
DPOP;0;graphColoring_1578338396948;GraphColoring.xml;1;3;2;3;0;0.4;0.0;0.3333333333333333;0.0;0;47;8;1903;417;1;0;0
DPOP;0;graphColoring_1578338397900;GraphColoring.xml;2;3;2;4;0;0.4;0.0;0.3333333333333333;0.0;0;66;16;3812;417;1;0;0
DPOP;0;graphColoring_1578338399254;GraphColoring.xml;3;3;1;5;0;0.4;0.0;0.4;0.0;0;97;32;7625;417;1;0;0
DPOP;0;graphColoring_1578338400654;GraphColoring.xml;3;3;2;6;0;0.4;0.0;0.4;0.0;0;91;41;10557;475;2;0;0
DPOP;0;graphColoring_1578338402137;GraphColoring.xml;4;3;2;7;0;0.4;0.0;0.38095238095238093;0.0;0;106;52;13995;477;2;0;0
DPOP;0;graphColoring_1578338403659;GraphColoring.xml;4;3;1;8;0;0.4;0.0;0.39285714285714285;0.0;0;120;73;19575;728;3;0;0
